url,normalized_url,path,query,type,source_page,anchor_text,status_code,final_url,is_parameter_url,suspected_duplicate_group,content_type,error
https://biocom.kr/davinci_store3,https://biocom.kr/davinci_store3,/davinci_store3,,category,sitemap,,200,https://biocom.kr/davinci_store3,false,https://biocom.kr/davinci_store3,text/html; charset=utf-8,
https://biocom.kr/davinci_store9,https://biocom.kr/davinci_store9,/davinci_store9,,category,sitemap,,200,https://biocom.kr/davinci_store9,false,https://biocom.kr/davinci_store9,text/html; charset=utf-8,
https://biocom.kr/davinci_store7,https://biocom.kr/davinci_store7,/davinci_store7,,category,sitemap,,200,https://biocom.kr/davinci_store7,false,https://biocom.kr/davinci_store7,text/html; charset=utf-8,
https://biocom.kr/davinci_store5,https://biocom.kr/davinci_store5,/davinci_store5,,category,sitemap,,200,https://biocom.kr/davinci_store5,false,https://biocom.kr/davinci_store5,text/html; charset=utf-8,
https://biocom.kr/davinci_store11,https://biocom.kr/davinci_store11,/davinci_store11,,category,sitemap,,200,https://biocom.kr/davinci_store11,false,https://biocom.kr/davinci_store11,text/html; charset=utf-8,
https://biocom.kr/davinci_store4,https://biocom.kr/davinci_store4,/davinci_store4,,category,sitemap,,200,https://biocom.kr/davinci_store4,false,https://biocom.kr/davinci_store4,text/html; charset=utf-8,
https://biocom.kr/davinci_store6,https://biocom.kr/davinci_store6,/davinci_store6,,category,sitemap,,200,https://biocom.kr/davinci_store6,false,https://biocom.kr/davinci_store6,text/html; charset=utf-8,
https://biocom.kr/davinci_store1,https://biocom.kr/davinci_store1,/davinci_store1,,category,sitemap,,200,https://biocom.kr/davinci_store1,false,https://biocom.kr/davinci_store1,text/html; charset=utf-8,
https://biocom.kr/davinci_store10,https://biocom.kr/davinci_store10,/davinci_store10,,category,sitemap,,200,https://biocom.kr/davinci_store10,false,https://biocom.kr/davinci_store10,text/html; charset=utf-8,
https://biocom.kr/shop_view/504,https://biocom.kr/shop_view/504,/shop_view/504,,category,sitemap,,200,https://biocom.kr/shop_view/504,false,https://biocom.kr/shop_view/504,text/html; charset=utf-8,
https://biocom.kr/shop_view/266,https://biocom.kr/shop_view/266,/shop_view/266,,category,sitemap,,200,https://biocom.kr/shop_view/266,false,https://biocom.kr/shop_view/266,text/html; charset=utf-8,
https://biocom.kr/shop_view/503,https://biocom.kr/shop_view/503,/shop_view/503,,category,sitemap,,200,https://biocom.kr/shop_view/503,false,https://biocom.kr/shop_view/503,text/html; charset=utf-8,
https://biocom.kr/shop_view/502,https://biocom.kr/shop_view/502,/shop_view/502,,category,sitemap,,200,https://biocom.kr/shop_view/502,false,https://biocom.kr/shop_view/502,text/html; charset=utf-8,
https://biocom.kr/shop_view/501,https://biocom.kr/shop_view/501,/shop_view/501,,category,sitemap,,200,https://biocom.kr/shop_view/501,false,https://biocom.kr/shop_view/501,text/html; charset=utf-8,
https://biocom.kr/shop_view/424,https://biocom.kr/shop_view/424,/shop_view/424,,category,sitemap,,200,https://biocom.kr/shop_view/424,false,https://biocom.kr/shop_view/424,text/html; charset=utf-8,
https://biocom.kr/shop_view/500,https://biocom.kr/shop_view/500,/shop_view/500,,category,sitemap,,200,https://biocom.kr/shop_view/500,false,https://biocom.kr/shop_view/500,text/html; charset=utf-8,
https://biocom.kr/shop_view/251,https://biocom.kr/shop_view/251,/shop_view/251,,category,sitemap,,200,https://biocom.kr/shop_view/251,false,https://biocom.kr/shop_view/251,text/html; charset=utf-8,
https://biocom.kr/shop_view/300,https://biocom.kr/shop_view/300,/shop_view/300,,category,sitemap,,200,https://biocom.kr/shop_view/300,false,https://biocom.kr/shop_view/300,text/html; charset=utf-8,
