primary_alias_key,row_count,first_date_iso,last_date_iso,channel_bucket_top,product_family_top,suggested_grade_top,landing_paths,ledger_path_candidates,example_management_memo,example_generated_url,existing_mapping_status,existing_selected_campaign_id,existing_selected_campaign_name,existing_confidence,existing_review_reason,next_join_key_recommendation
meta_biocom_skinreview_igg,1,,,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/shop_view,/shop_view;/shopview,메타광고_바이오컴_피부오돌토돌 후기_음과검,https://biocom.kr/shop_view?idx=85&utm_source=meta_biocom_skinreview_igg&utm_medium=meta_biocom_skinreview_igg&utm_campaign=meta_biocom_skinreview_igg&utm_content=meta_biocom_skinreview_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_skinthreads_igg,1,2025-10-30,2025-10-30,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/igg_store,/igg_store;/iggstore,메타광고_바이오컴_쓰레드피부_음과검,https://biocom.kr/igg_store/?idx=85&utm_source=meta_biocom_skinthreads_igg&utm_medium=meta_biocom_skinthreads_igg&utm_campaign=meta_biocom_skinthreads_igg&utm_content=meta_biocom_skinthreads_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_skintts1_igg,1,2026-04-29,2026-04-29,meta_paid_or_meta_candidate,igg,B_split_required_existing,/igg_store,/igg_store;/iggstore,메타광고_바이오컴_피부TTS_음과검,https://biocom.kr/igg_store/?idx=85&utm_source=meta_biocom_skintts1_igg&utm_medium=meta_biocom_skintts1_igg&utm_campaign=meta_biocom_skintts1_igg&utm_content=meta_biocom_skintts1_igg,split_required,,,growth_manual_split_required,2026-05-04 16:10 KST 그로스파트 수동 확인 엑셀(campaign-mapping-manual-check-template-20260505.xlsx): 최근 소재 제작 후 기존 세트와 분리 실험이 섞여 alias-only는 campaign 단일 확정 금지. utm_term/adset id가 있으면 해당 parent campaign으로 분리한다.,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_skinttspartner_igg,1,,,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/igg_store,/igg_store;/iggstore,메타광고_바이오컴_피부TTS파트너광고_음과검,https://biocom.kr/igg_store/?idx=85&utm_source=meta_biocom_skinttspartner_igg&utm_medium=meta_biocom_skinttspartner_igg&utm_campaign=meta_biocom_skinttspartner_igg&utm_content=meta_biocom_skinttspartner_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_sleep_dangdangcare,1,,,meta_paid_or_meta_candidate,supplements,B_alias_candidate_needs_meta_api_join,/HealthFood,/HealthFood,메타광고_바이오컴_식곤증_당당케어,https://biocom.kr/HealthFood/?idx=317&utm_source=meta_biocom_sleep_dangdangcare&utm_medium=meta_biocom_sleep_dangdangcare&utm_campaign=meta_biocom_sleep_dangdangcare&utm_content=meta_biocom_sleep_dangdangcare,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_sleepmaxing_metadream,1,,,meta_paid_or_meta_candidate,supplements,B_alias_candidate_needs_meta_api_join,/HealthFood,/HealthFood,메타광고_바이오컴_슬립맥싱_메타드림,https://biocom.kr/HealthFood/?idx=386&utm_source=meta_biocom_sleepmaxing_metadream&utm_medium=meta_biocom_sleepmaxing_metadream&utm_campaign=meta_biocom_sleepmaxing_metadream&utm_content=meta_biocom_sleepmaxing_metadream,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_sleepquality4_metadream,1,,,meta_paid_or_meta_candidate,unknown,B_alias_candidate_needs_meta_api_join,/shop_view,/shop_view;/shopview,메타광고_바이오컴_수면시너지조합_메타드림,https://biocom.kr/shop_view/?idx=386&utm_source=meta_biocom_sleepquality4_metadream&utm_medium=meta_biocom_sleepquality4_metadream&utm_campaign=meta_biocom_sleepquality4_metadream&utm_content=meta_biocom_sleepquality4_metadream,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_smartselfcare_igg,1,2025-09-26,2025-09-26,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/igg_store,/igg_store;/iggstore,메타광고_바이오컴_똑똑한관리_음과검,https://biocom.kr/igg_store/?idx=85&utm_source=meta_biocom_smartselfcare_igg&utm_medium=meta_biocom_smartselfcare_igg&utm_campaign=meta_biocom_smartselfcare_igg&utm_content=meta_biocom_smartselfcare_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_songyul3_reels,1,2025-05-07,2025-05-07,meta_paid_or_meta_candidate,unknown,B_alias_candidate_needs_meta_api_join,/group_purchase_songyuul,/group_purchase_songyuul;/grouppurchasesongyuul,메타광고_바이오컴_송율공구3차_릴스,https://biocom.kr/group_purchase_songyuul?utm_source=meta_biocom_songyul3_reels&utm_medium=meta_biocom_songyul3_reels&utm_campaign=meta_biocom_songyul3_reels&utm_content=meta_biocom_songyul3_reels,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_songyul3_reels2,1,2025-05-09,2025-05-09,meta_paid_or_meta_candidate,unknown,B_alias_candidate_needs_meta_api_join,/group_purchase_songyuul,/group_purchase_songyuul;/grouppurchasesongyuul,메타광고_바이오컴_송율공구3차_릴스2,https://biocom.kr/group_purchase_songyuul?utm_source=meta_biocom_songyul3_reels2&utm_medium=meta_biocom_songyul3_reels2&utm_campaign=meta_biocom_songyul3_reels2&utm_content=meta_biocom_songyul3_reels2,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_songyulpost1_igg,1,,,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/group_purchase_songyuul,/group_purchase_songyuul;/grouppurchasesongyuul,메타광고_바이오컴_송율공구님(게시글1)_지연성알러지,https://biocom.kr/group_purchase_songyuul?utm_source=meta_biocom_songyulpost1_igg&utm_medium=meta_biocom_songyulpost1_igg&utm_campaign=meta_biocom_songyulpost1_igg&utm_content=meta_biocom_songyulpost1_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_songyulpost2_igg,1,,,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/group_purchase_songyuul,/group_purchase_songyuul;/grouppurchasesongyuul,메타광고_바이오컴_송율공구님(게시글2)_지연성알러지,https://biocom.kr/group_purchase_songyuul?utm_source=meta_biocom_songyulpost2_igg&utm_medium=meta_biocom_songyulpost2_igg&utm_campaign=meta_biocom_songyulpost2_igg&utm_content=meta_biocom_songyulpost2_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_songyulreel1_igg,1,,,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/group_purchase_songyuul,/group_purchase_songyuul;/grouppurchasesongyuul,메타광고_바이오컴_송율공구님(릴스1)_지연성알러지,https://biocom.kr/group_purchase_songyuul?utm_source=meta_biocom_songyulreel1_igg&utm_medium=meta_biocom_songyulreel1_igg&utm_campaign=meta_biocom_songyulreel1_igg&utm_content=meta_biocom_songyulreel1_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_songyuul07_igg,1,,,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/songyuul_07,/songyuul07;/songyuul_07,메타광고_바이오컴_송율공구07,https://biocom.kr/songyuul_07?utm_source=meta_biocom_songyuul07_igg&utm_medium=meta_biocom_songyuul07_igg&utm_campaign=meta_biocom_songyuul07_igg&utm_content=meta_biocom_songyuul07_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_songyuul08,1,2026-04-08,2026-04-08,meta_paid_or_meta_candidate,unknown,B_existing_manual_verified,/songyuul08,/songyuul08,메타광고_바이오컴_송율공구8차,https://biocom.kr/songyuul08?utm_source=meta_biocom_songyuul08&utm_medium=meta_biocom_songyuul08&utm_campaign=meta_biocom_songyuul08&utm_content=meta_biocom_songyuul08,manual_verified,120242626179290396,공동구매 인플루언서 파트너 광고 모음_3 (260323),manual_verified,"2026-04-11 Meta 광고 상세 수동 확인: 송율 광고의 소스 URL/웹사이트 URL에 utm_campaign=meta_biocom_songyuul08이 직접 존재함. 2026-04-11 15시대 재확인 결과 기존 pending 9건은 2026-04-09 01:34 KST 생성된 stale audit 값이며, 최신 로컬 attribution/imweb 원장 기준 송율 payment_success pending은 가상계좌 1건만 남아 있음",alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_songyuul2_igg,1,2025-03-07,2025-03-07,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/laPPGN,/laPPGN,메타광고_바이오컴_송율공구2차_지연성알러지,https://vo.la/laPPGN?utm_source=meta_biocom_songyuul2_igg&utm_medium=meta_biocom_songyuul2_igg&utm_campaign=meta_biocom_songyuul2_igg&utm_content=meta_biocom_songyuul2_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_songyuul2end_igg,1,,,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/igg_store,/igg_store;/iggstore,메타광고_바이오컴_송율공구2차종료_지연성알러지,https://biocom.kr/igg_store/?idx=85&utm_source=meta_biocom_songyuul2end_igg&utm_medium=meta_biocom_songyuul2end_igg&utm_campaign=meta_biocom_songyuul2end_igg&utm_content=meta_biocom_songyuul2end_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_songyuul6_igg,1,2026-02-06,2026-02-06,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/songyuul_06,/songyuul06;/songyuul_06,메타광고_바이오컴_송율공구_음과검,https://biocom.kr/songyuul_06?utm_source=meta_biocom_songyuul6_igg&utm_medium=meta_biocom_songyuul6_igg&utm_campaign=meta_biocom_songyuul6_igg&utm_content=meta_biocom_songyuul6_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_songyuul_igg,2,2025-01-05,2025-02-19,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,/songyuul;/songyuul_5,/songyuul;/songyuul05;/songyuul5;/songyuul_5,메타광고_바이오컴_송율님공구_지연성알러지검사,https://biocom.kr/songyuul?utm_source=meta_biocom_songyuul_igg&utm_medium=meta_biocom_songyuul_igg&utm_campaign=meta_biocom_songyuul_igg&utm_content=meta_biocom_songyuul_igg,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_songyuuldosirak1_aciddosirak,1,,,meta_paid_or_meta_candidate,organicacid,B_alias_candidate_needs_meta_api_join,/songyuul,/songyuul,메타광고_바이오컴_송율도시락1_종대사도시락,https://biocom.kr/songyuul?utm_source=meta_biocom_songyuuldosirak1_aciddosirak&utm_medium=meta_biocom_songyuuldosirak1_aciddosirak&utm_campaign=meta_biocom_songyuuldosirak1_aciddosirak&utm_content=meta_biocom_songyuuldosirak1_aciddosirak,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
meta_biocom_songyuuldosirak2_aciddosirak,1,,,meta_paid_or_meta_candidate,organicacid,B_alias_candidate_needs_meta_api_join,/songyuul,/songyuul,메타광고_바이오컴_송율도시락2_종대사도시락,https://biocom.kr/songyuul?utm_source=meta_biocom_songyuuldosirak2_aciddosirak&utm_medium=meta_biocom_songyuuldosirak2_aciddosirak&utm_campaign=meta_biocom_songyuuldosirak2_aciddosirak&utm_content=meta_biocom_songyuuldosirak2_aciddosirak,,,,,,alias + landing_path + Meta API ads/adcreatives URL join
