source_file,source_row,date_raw,date_iso,date_quality,brand,management_memo,landing_url_raw,landing_host,landing_path,landing_path_with_idx,landing_path_canonical,ledger_path_candidates,utm_source,utm_medium,utm_campaign,utm_content,utm_term,generated_url,short_url,primary_alias_key,primary_alias_field,alias_kind,channel_bucket,product_family_hint,suggested_mapping_grade,suggested_use,quality_flags,existing_mapping_status,existing_selected_campaign_id,existing_selected_campaign_name,existing_confidence,existing_review_reason
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,1905,,,unparsed_or_blank,,메타광고_방탄젤리인스스재출시_방탄젤리,https://biocom.kr/shop_view/?idx=279,biocom.kr,/shop_view,/shop_view?idx=279,shopview,/shop_view;/shopview,meta_biocom_bangtaninstastory_bangtanjelly,meta_biocom_bangtaninstastory_bangtanjelly,meta_biocom_bangtaninstastory_bangtanjelly,meta_biocom_bangtaninstastory_bangtanjelly,,https://biocom.kr/shop_view/?idx=279&utm_source=meta_biocom_bangtaninstastory_bangtanjelly&utm_medium=meta_biocom_bangtaninstastory_bangtanjelly&utm_campaign=meta_biocom_bangtaninstastory_bangtanjelly&utm_content=meta_biocom_bangtaninstastory_bangtanjelly,,meta_biocom_bangtaninstastory_bangtanjelly,utm_campaign,meta_alias_campaign,meta_paid_or_meta_candidate,supplements,B_alias_candidate_needs_meta_api_join,고유 UTM 별칭 후보. Meta API 광고 URL과 조인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,1906,,,unparsed_or_blank,,메타광고_방탄젤리얼리버드_방탄젤리,https://biocom.kr/shop_view/?idx=279,biocom.kr,/shop_view,/shop_view?idx=279,shopview,/shop_view;/shopview,meta_biocom_bangtanearlybird_bangtanjelly,meta_biocom_bangtanearlybird_bangtanjelly,meta_biocom_bangtanearlybird_bangtanjelly,meta_biocom_bangtanearlybird_bangtanjelly,,https://biocom.kr/shop_view/?idx=279&utm_source=meta_biocom_bangtanearlybird_bangtanjelly&utm_medium=meta_biocom_bangtanearlybird_bangtanjelly&utm_campaign=meta_biocom_bangtanearlybird_bangtanjelly&utm_content=meta_biocom_bangtanearlybird_bangtanjelly,,meta_biocom_bangtanearlybird_bangtanjelly,utm_campaign,meta_alias_campaign,meta_paid_or_meta_candidate,supplements,B_alias_candidate_needs_meta_api_join,고유 UTM 별칭 후보. Meta API 광고 URL과 조인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,1907,,,unparsed_or_blank,,인포크링크_방탄젤리_팀키토,https://biocom.kr/shop_view/?idx=279,biocom.kr,/shop_view,/shop_view?idx=279,shopview,/shop_view;/shopview,inpock_bangtanjelly_teamketo,inpock_bangtanjelly_teamketo,inpock_bangtanjelly_teamketo,inpock_bangtanjelly_teamketo,,https://biocom.kr/shop_view/?idx=279&utm_source=inpock_bangtanjelly_teamketo&utm_medium=inpock_bangtanjelly_teamketo&utm_campaign=inpock_bangtanjelly_teamketo&utm_content=inpock_bangtanjelly_teamketo,,inpock_bangtanjelly_teamketo,utm_campaign,non_meta_campaign_alias,instagram_profile_link_inpork,supplements,D_exclude_meta_roas,Meta 광고가 아닌 인스타/인포크 유입으로 분리,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,1908,,,unparsed_or_blank,,인포크링크_방탄젤리_바이오컴,https://biocom.kr/shop_view/?idx=279,biocom.kr,/shop_view,/shop_view?idx=279,shopview,/shop_view;/shopview,inpock_bangtanjelly_biocom,inpock_bangtanjelly_biocom,inpock_bangtanjelly_biocom,inpock_bangtanjelly_biocom,,https://biocom.kr/shop_view/?idx=279&utm_source=inpock_bangtanjelly_biocom&utm_medium=inpock_bangtanjelly_biocom&utm_campaign=inpock_bangtanjelly_biocom&utm_content=inpock_bangtanjelly_biocom,,inpock_bangtanjelly_biocom,utm_campaign,non_meta_campaign_alias,instagram_profile_link_inpork,supplements,D_exclude_meta_roas,Meta 광고가 아닌 인스타/인포크 유입으로 분리,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,1909,,,unparsed_or_blank,,메타광고_이아리님툰_음과검공구,https://biocom.kr/i_iary2,biocom.kr,/i_iary2,/i_iary2,iiary2,/i_iary2;/iiary02;/iiary2,meta_iiarytoon_igg,meta_iiarytoon_igg,meta_iiarytoon_igg,meta_iiarytoon_igg,,https://biocom.kr/i_iary2?utm_source=meta_iiarytoon_igg&utm_medium=meta_iiarytoon_igg&utm_campaign=meta_iiarytoon_igg&utm_content=meta_iiarytoon_igg,,meta_iiarytoon_igg,utm_campaign,meta_alias_campaign,meta_paid_or_meta_candidate,igg,B_alias_candidate_needs_meta_api_join,고유 UTM 별칭 후보. Meta API 광고 URL과 조인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,1910,,,unparsed_or_blank,,메타광고_방탄젤리인스스영상_방탄젤리,https://biocom.kr/shop_view/?idx=279,biocom.kr,/shop_view,/shop_view?idx=279,shopview,/shop_view;/shopview,meta_biocom_bangtanjellystorymp4_bangtanjelly,meta_biocom_bangtanjellystorymp4_bangtanjelly,meta_biocom_bangtanjellystorymp4_bangtanjelly,meta_biocom_bangtanjellystorymp4_bangtanjelly,,https://biocom.kr/shop_view/?idx=279&utm_source=meta_biocom_bangtanjellystorymp4_bangtanjelly&utm_medium=meta_biocom_bangtanjellystorymp4_bangtanjelly&utm_campaign=meta_biocom_bangtanjellystorymp4_bangtanjelly&utm_content=meta_biocom_bangtanjellystorymp4_bangtanjelly,,meta_biocom_bangtanjellystorymp4_bangtanjelly,utm_campaign,meta_alias_campaign,meta_paid_or_meta_candidate,supplements,B_alias_candidate_needs_meta_api_join,고유 UTM 별칭 후보. Meta API 광고 URL과 조인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,1911,,,unparsed_or_blank,,메타광고_리셋데이인스스영상_리셋데이,https://biocom.kr/shop_view/?idx=409,biocom.kr,/shop_view,/shop_view?idx=409,shopview,/shop_view;/shopview,meta_resetdaystorymp4_resetday,meta_resetdaystorymp4_resetday,meta_resetdaystorymp4_resetday,meta_resetdaystorymp4_resetday,,https://biocom.kr/shop_view/?idx=409&utm_source=meta_resetdaystorymp4_resetday&utm_medium=meta_resetdaystorymp4_resetday&utm_campaign=meta_resetdaystorymp4_resetday&utm_content=meta_resetdaystorymp4_resetday,,meta_resetdaystorymp4_resetday,utm_campaign,meta_alias_campaign,meta_paid_or_meta_candidate,supplements,B_alias_candidate_needs_meta_api_join,고유 UTM 별칭 후보. Meta API 광고 URL과 조인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,1912,,,unparsed_or_blank,,메타광고_당당케어인스스영상_당당케어,https://biocom.kr/shop_view/?idx=317,biocom.kr,/shop_view,/shop_view?idx=317,shopview,/shop_view;/shopview,meta_dangdnagstorymp4_dangdangcare,meta_dangdnagstorymp4_dangdangcare,meta_dangdnagstorymp4_dangdangcare,meta_dangdnagstorymp4_dangdangcare,,https://biocom.kr/shop_view/?idx=317&utm_source=meta_dangdnagstorymp4_dangdangcare&utm_medium=meta_dangdnagstorymp4_dangdangcare&utm_campaign=meta_dangdnagstorymp4_dangdangcare&utm_content=meta_dangdnagstorymp4_dangdangcare,,meta_dangdnagstorymp4_dangdangcare,utm_campaign,meta_alias_campaign,meta_paid_or_meta_candidate,supplements,B_alias_candidate_needs_meta_api_join,고유 UTM 별칭 후보. Meta API 광고 URL과 조인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,1913,,,unparsed_or_blank,,메타광고_종대사인스스2026_종대사,https://biocom.kr/organicacid_store/?idx=259,biocom.kr,/organicacid_store,/organicacid_store?idx=259,organicacidstore,/organicacid_store;/organicacidstore,meta_acidinstastory2026_acid,meta_acidinstastory2026_acid,meta_acidinstastory2026_acid,meta_acidinstastory2026_acid,,https://biocom.kr/organicacid_store/?idx=259&utm_source=meta_acidinstastory2026_acid&utm_medium=meta_acidinstastory2026_acid&utm_campaign=meta_acidinstastory2026_acid&utm_content=meta_acidinstastory2026_acid,,meta_acidinstastory2026_acid,utm_campaign,meta_alias_campaign,meta_paid_or_meta_candidate,organicacid,B_alias_candidate_needs_meta_api_join,고유 UTM 별칭 후보. Meta API 광고 URL과 조인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,1914,,,unparsed_or_blank,,메타광고_종대사후기_종대사,https://biocom.kr/organicacid_store/?idx=259,biocom.kr,/organicacid_store,/organicacid_store?idx=259,organicacidstore,/organicacid_store;/organicacidstore,meta_acidreview_acid,meta_acidreview_acid,meta_acidreview_acid,meta_acidreview_acid,,https://biocom.kr/organicacid_store/?idx=259&utm_source=meta_acidreview_acid&utm_medium=meta_acidreview_acid&utm_campaign=meta_acidreview_acid&utm_content=meta_acidreview_acid,,meta_acidreview_acid,utm_campaign,meta_alias_campaign,meta_paid_or_meta_candidate,organicacid,B_alias_candidate_needs_meta_api_join,고유 UTM 별칭 후보. Meta API 광고 URL과 조인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,1915,,,unparsed_or_blank,,메타광고_방젤블로그_방탄젤리,https://biocom.kr/shop_view/?idx=279,biocom.kr,/shop_view,/shop_view?idx=279,shopview,/shop_view;/shopview,meta_biocom_bangtanblog_bangtanjelly,meta_biocom_bangtanblog_bangtanjelly,meta_biocom_bangtanblog_bangtanjelly,meta_biocom_bangtanblog_bangtanjelly,,https://biocom.kr/shop_view/?idx=279&utm_source=meta_biocom_bangtanblog_bangtanjelly&utm_medium=meta_biocom_bangtanblog_bangtanjelly&utm_campaign=meta_biocom_bangtanblog_bangtanjelly&utm_content=meta_biocom_bangtanblog_bangtanjelly,,meta_biocom_bangtanblog_bangtanjelly,utm_campaign,meta_alias_campaign,meta_paid_or_meta_candidate,supplements,B_alias_candidate_needs_meta_api_join,고유 UTM 별칭 후보. Meta API 광고 URL과 조인 필요,ok,,,,,
utm/[바이오컴] UTM 관리 - Builder (자동소문자화 기능 있음).csv,1916,,,unparsed_or_blank,,유튜브_커뮤니티_방탄젤리,https://biocom.kr/shop_view/?idx=279,biocom.kr,/shop_view,/shop_view?idx=279,shopview,/shop_view;/shopview,youtube_community_bangtanjelly,youtube_community_bangtanjelly,youtube_community_bangtanjelly,youtube_community_bangtanjelly,,https://biocom.kr/shop_view/?idx=279&utm_source=youtube_community_bangtanjelly&utm_medium=youtube_community_bangtanjelly&utm_campaign=youtube_community_bangtanjelly&utm_content=youtube_community_bangtanjelly,,youtube_community_bangtanjelly,utm_campaign,non_meta_campaign_alias,other_utm,supplements,C_landing_alias_candidate,랜딩/UTM 별칭 후보. 광고 여부 확인 필요,ok,,,,,
